NumTestingThreads,NumServerThreads,Latency,Throughput
200,1,86999.31,2.29
200,2,83924.21,2.36
200,3,78661.26,2.47
200,4,78214.39,2.51
200,5,77132.19,2.54
200,6,75901.06,2.56
200,7,75540.81,2.59
200,8,74448.42,2.62
200,9,73701.02,2.65
200,10,72477.20,2.69
200,11,71837.88,2.72
200,12,71575.87,2.74
200,13,69681.60,2.77
200,14,69883.31,2.77
200,15,68997.29,2.83
200,16,68388.40,2.84
200,17,67788.84,2.86
200,18,66952.78,2.90
200,19,66039.60,2.94
200,20,65109.41,2.97
200,21,65429.37,2.98
200,22,63578.16,3.04
200,23,62552.74,3.09
200,24,62815.73,3.10
200,25,62658.78,3.12
